potID,replicate,treatment,no_poll,dl,whc,mwd,wsa_b,wdpt,log_cop_gS
235,a,µPlastic,1,4,75,0.6298708487,0.33333333330000003,5,23.6270481995322
236,a,µPlastic,1,14,25,0.6337508475,0.5,5,23.7553361564583
237,c,Ctrl,0,12,35,0.5427961538,0.4193548387,1e-16,23.5775882132271
238,b,µPlastic,1,15,20,0.6397174658,0.7941176471,3,NA
239,c,Surfactant,1,7,60,1.063630282,0.625,1e-16,23.6716765618059
240,a,Surfactant,1,7,60,1.070842857,0.4,1e-16,23.5331921372127
241,a,Ctrl,0,8,55,0.9860447154,0.45161290319999997,1e-16,23.5749189498695
242,c,Copper,1,10,45,0.6790605536,0.6,4,23.5879411913078
243,b,All_in,5,5,70,0.5849908425,0.3939393939,1e-16,23.8340195965882
244,c,Surfactant,1,4,75,0.8768810409,0.5172413793,4,23.3542850923917
245,c,All_in,5,1,90,0.8309719101,0.375,2,23.4287635351698
246,c,Salinity,1,4,75,0.9222166667,0.5161290323,1,23.4034413999406
247,b,All_in,5,12,35,0.6326728814,0.5625,4,23.8316589854393
248,c,µPlastic,1,11,40,0.69276,0.5,5,23.6843439655762
249,b,Ctrl,0,13,30,0.638093985,0.3636363636,5,23.5953498921519
250,c,Surfactant,1,15,20,0.5524047619,0.4,4,23.5401441087866
251,a,Ctrl,0,11,40,0.6241192308,0.5,4,23.6659246495756
252,a,µPlastic,1,2,85,0.7789566787,0.5161290323,2,23.3702541622656
253,b,Nitrogen,1,13,30,0.6577193878,0.46875,5,23.7124771423117
254,b,All_in,5,2,85,0.8960072993,0.6333333333,2,23.5896243034424
255,b,µPlastic,1,10,45,0.7065050847,0.5333333333,3,23.7756066241371
257,b,µPlastic,1,4,75,1.043381206,0.3939393939,1e-16,23.7252362267929
258,b,Surfactant,1,15,20,0.5238986014,0.3421052632,5,23.4907066599609
259,b,Nitrogen,1,2,85,1.09547191,0.4545454545,4,23.5628476152422
260,c,Ctrl,0,10,45,0.535144,0.45161290319999997,2,23.4902755387881
261,c,All_in,5,2,85,0.7177683824,0.36111111110000005,1e-16,23.6329009658034
262,b,Copper,1,8,55,1.082548043,0.5,1e-16,23.6666560933209
263,b,All_in,5,10,45,0.7395,0.6129032258,2,23.5959443385907
264,c,µPlastic,1,13,30,0.6490858586,0.4375,5,23.6572473788612
265,b,Nitrogen,1,7,60,0.9369805654,0.5151515152,1e-16,23.4084342971151
266,c,Nitrogen,1,4,75,0.9856574074,0.4838709677,1e-16,23.6258006479708
